riesgo_laboral,EDAD,SEXO,NIVEL_EDUCATIVO,EXPERIENCIA_MESES,ESTRATO,ZONA,REGION,ESTADO_CIVIL,JEFATURA_HOGAR
,24,2,9,12.0,2.0,1,66,6,1
0.0,25,2,10,12.0,3.0,1,66,1,1
0.0,28,1,6,12.0,3.0,1,66,1,2
,17,1,5,1.0,3.0,1,66,6,3
1.0,23,2,5,12.0,3.0,1,66,6,6
,18,2,8,2.0,3.0,1,66,6,8
1.0,23,2,5,12.0,2.0,1,66,2,1
1.0,24,1,4,12.0,2.0,1,66,2,2
0.0,28,2,5,12.0,2.0,2,66,6,3
0.0,26,1,5,12.0,2.0,2,66,2,1
,20,2,5,,2.0,2,66,2,2
1.0,23,2,6,12.0,2.0,2,66,3,7
,16,1,5,12.0,1.0,2,66,6,8
1.0,27,2,5,,1.0,2,66,6,3
0.0,27,1,5,9.0,2.0,2,66,2,1
,27,2,4,,2.0,2,66,2,2
1.0,22,2,5,12.0,3.0,1,5,6,1
0.0,25,1,8,12.0,3.0,1,5,6,1
0.0,26,2,8,12.0,2.0,2,5,6,1
1.0,19,1,5,12.0,2.0,2,5,6,3
,21,1,10,,3.0,1,5,6,3
,18,1,1,,2.0,2,5,6,3
,20,2,10,,5.0,1,5,6,3
,21,2,10,,1.0,1,5,6,3
1.0,19,1,4,12.0,1.0,1,5,6,3
,16,1,4,,1.0,1,5,6,3
1.0,18,2,5,9.0,1.0,1,5,6,3
,27,2,8,3.0,1.0,1,5,6,3
,19,2,6,,1.0,1,5,6,3
0.0,23,1,5,12.0,1.0,1,5,6,3
1.0,23,1,3,12.0,1.0,1,5,6,3
1.0,21,1,3,12.0,1.0,1,5,2,3
1.0,22,2,5,,1.0,1,5,2,7
1.0,22,1,5,12.0,1.0,2,5,4,1
1.0,23,1,5,12.0,1.0,2,5,2,13
0.0,26,2,10,12.0,1.0,1,5,6,1
1.0,17,2,5,,1.0,2,5,6,3
1.0,22,1,4,12.0,1.0,2,5,6,8
1.0,20,1,5,12.0,1.0,2,5,6,1
1.0,20,1,5,12.0,1.0,2,5,6,6
,20,2,10,,1.0,1,23,6,3
,22,1,3,12.0,1.0,1,23,6,3
1.0,21,1,4,12.0,1.0,1,23,6,3
0.0,25,1,8,12.0,1.0,1,23,2,1
1.0,26,2,5,,1.0,1,23,2,2
,17,1,5,,1.0,1,23,6,3
